Country,Region,Happiness Rank,Ladder score,Economy,Social support,Health,Freedom,Trust,Generosity,Dystopia Residual,Year,Emoji,Latitude,Longitude,Population,Percent_Population_aged_0_14,Percent_Population_aged_10_19,Percent_Population_aged_10_24,Percent_Population_aged_15_64,Percent_Population_aged_65_and_older,LifeExpectancy_male,LifeExpectancy_female
Jamaica,Latin America and Caribbean,67,5.842,1.28,1.324,0.567,0.647,0.028,0.089,1.907,2024,😑,18.1850507,-77.3947693,2.8,19.0,15.0,23.0,73.0,8.0,70.0,75.0
Peru,Latin America and Caribbean,68,5.841,1.371,1.18,0.662,0.615,0.029,0.078,1.907,2024,😑,-6.8699697,-75.0458515,34.7,25.0,17.0,25.0,66.0,9.0,75.0,79.0
Dominican Republic,Latin America and Caribbean,69,5.823,1.517,1.272,0.511,0.73,0.196,0.086,1.512,2024,😑,19.0974031,-70.3028026,0.1,19.0,14.0,22.0,71.0,10.0,71.0,78.0
Dominican Republic,Latin America and Caribbean,69,5.823,1.517,1.272,0.511,0.73,0.196,0.086,1.512,2024,😑,19.0974031,-70.3028026,11.4,27.0,17.0,26.0,66.0,8.0,71.0,78.0
Mauritius,Sub-Saharan Africa,70,5.816,1.57,1.358,0.49,0.641,0.118,0.123,1.517,2024,😑,-20.2759451,57.5703566,1.3,16.0,12.0,20.0,70.0,14.0,73.0,79.0
Moldova,Commonwealth of Independent States,71,5.816,1.385,1.277,0.542,0.695,0.044,0.077,1.795,2024,😑,47.2879608,28.5670941,3.3,19.0,12.0,18.0,67.0,13.0,67.0,76.0
Russia,Commonwealth of Independent States,72,5.785,1.642,1.351,0.531,0.551,0.121,0.138,1.451,2024,😑,64.6863136,97.7453061,144.0,17.0,12.0,17.0,66.0,17.0,70.0,79.0
Bolivia,Latin America and Caribbean,73,5.784,1.217,1.179,0.488,0.719,0.061,0.1,2.02,2024,😑,-17.0568696,-64.9912286,12.6,30.0,20.0,29.0,65.0,5.0,66.0,72.0
Ecuador,Latin America and Caribbean,74,5.725,1.315,1.151,0.64,0.606,0.078,0.087,1.846,2024,😑,-1.3397668,-79.3666965,18.4,25.0,17.0,26.0,67.0,8.0,76.0,81.0
Kyrgyzstan,Commonwealth of Independent States,75,5.714,1.054,1.477,0.588,0.834,0.03,0.225,1.505,2024,😑,42.4858224,74.714583,6.8,34.0,20.0,27.0,61.0,5.0,68.0,76.0
